title_uias,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget.1,age_restr
Дитя тьмы,1023065,Дитя тьмы,The Hollow Child,"Любимица всей семьи Оливия пропадает во время прогулки. Поиски в лесной чаще ничего не дают. Спустя несколько дней Оливия чудесным образом возвращается домой. И только ее старшая сестра Саманта понимает, что вместо Оливии вернулось нечто другое и очень недоброе.",2017,Канада,«А вы хорошо себя вели?»,"Джессика Маклеод, Ханна Черами, Джон Эммет Трэйси, Яна Мицула, Женевьев Бюкнер, Коннор Стэнхоуп, Джоанна Ньюмарк, Крэйг Марч, Мами Лейврок, Лэйкен Лэйврок",Джереми Люттер,Бен Ролло,"Джереми Люттер, Жослин Расселл, Робин Чан","Грэхэм Талбот, Нельсон Талбот",Дэвид Парфит,"Мо Куртен, Кендра Терпеннинг, Том Дэвисон",Дэн Кригер,"ужасы, триллер, драма, детектив",{},None,None,None,34937,None,,4.956,1549,4.8,1104,88,None,,,,FALSE,(),9 февраля 2017,6 июня 2019,None :,$34 937,None
Двойная жизнь,721665,Двойная жизнь ( сериал ),,,None,,,,,,,,,,,,{},None,None,None,None,None,,None,None,None,None,None,None,,,,None,(),None,None,None,None,None
Мышеловка. 4Х4,1164102,Мышеловка,4x4,"Для Сиро Бермудеса, промышляющего воровством, открыть новенький внедорожник, припаркованный на тихой улице, — как два пальца об асфальт. Выломать компьютер, пошарить в бардачке — дело одной минуты. Помочиться на заднее сиденье, чтобы дополнительно отравить жизнь хозяину, — его фирменный стиль. Но вот дальше случается непредвиденное: двери блокируются, и Сиро оказывается запертым в бронированной машине с пуленепробиваемыми и наглухо тонированными стеклами. Кричать и пытаться вырваться бесполезно — никто не видит и не слышит. Телефон разряжен. 40-градусная жара. Страх, истерика, отчаяние. А кошмар Сиро только начался.",2019,"Аргентина, Испания",«Bienvenido a bordo»,"Питер Ланзани, Ailén Mazioni, Дади Бриева, Фабио Алберти, Лукас Посе, Mariano Azcurra, Fabíán Spitaleri, Сильвина Кац, Bernardo Morico, Ricardo Comes",Мариано Кон,"Мариано Кон, Гастон Дюпра","Гастон Дюпра, Аксель Кушевацки, Андрес Буено",Кико де ла Рика,Данте Спинетта,,,"фантастика, боевик, триллер, криминал",{},None,None,None,50420,1292773,,5.565,2244,5.7,773,92,None,,,,FALSE,(),4 апреля 2019,18 июля 2019,12.1 тыс.,None,None
"Вудсток: Три дня, изменившие поколение",1253917,"Вудсток: Три дня, изменившие поколение (ТВ)",Woodstock,"Когда летом 1969 года в администрацию штата Нью-Йорк поступила заявка на проведение фестиваля, выдавшие разрешение чиновники никак не могли предположить, что в итоге получат самую знаменитую вечеринку в истории с участием 500 тысяч хиппи и в довесок настоящую духовную революцию, освободившую западную музыку и западное общество на многие десятилетия.",2019,США,«Three Days That Defined a Generation»,"John Roberts, Джоэль Розенман, Joel Makower, Боб Спитц, Майкл Лэнг, Баффало Спрингфилд, Donald Goldmacher, Mel Lawrence, John Morris, Miriam Yasgur","Барак Гудман, Джеймила Эфрон","Барак Гудман, Don Kleszy","Джеймила Эфрон, Барак Гудман, Марк Самелс",,"John Kusiak, П. Эндрю Уиллис",,Don Kleszy,"документальный, история",{},None,None,None,None,None,,7.822,546,7.6,1059,106,None,,,,FALSE,(),28 апреля 2019,1 июня 2019,None,None,None
Свет моей жизни,1008320,Свет моей жизни,Light of My Life,"Восемь лет назад человечество поразил неизвестный вирус, убивший практически всех женщин на Земле. Мужчина с 12-летней дочерью, у которой оказался иммунитет к заболеванию, путешествует по лесам Северной Америки, лишь при большой надобности приближаясь к городам. Отец всеми силами пытается оградить девочку от опасностей, подстерегающих путников на каждом шагу.",2019,США,,"Кейси Аффлек, Анна Пнёвски, Том Бауэр, Элизабет Мосс, Хротгар Мэтьюз, Тимоти Уэббер, Монк Серрелл Фрид, Джесси Джеймс Пирс, Томми Кларк, Ллойд Каннингэм",Кейси Аффлек,Кейси Аффлек,"Джон Пауэрс Миддлтон, Тедди Шварцман, Майкл Хэймлер",Адам Аркпоу,Дэниэл Харт,"Сара К. Уайт, Малгожата Тужаньская, Зои Жирик","Доди Дорн, Кристофер Теллефсен","драма, фантастика",{},None,None,20056,32167,547161,,6.381,3396,None,None,119,None,,,,FALSE,(),8 февраля 2019,22 августа 2019,8 тыс.,$20 056,None
Клуб любителей книг и пирогов из картофельных очистков,467760,Клуб любителей книг и пирогов из картофельных очистков,The Guernsey Literary and Potato Peel Pie Society,"В послевоенном Лондоне молодая писательница Джулиет должна написать статью о книжном клубе. На помощь приходит случай — в виде письма одного свиновода с острова Гернси. Оказывается, даже свинари любят почитать, и неведомый Доуси, к которому в руки попала книга, некогда принадлежавшая Джулиет, просит ее посоветовать хорошую книжную лавку. Дело в том, что на Гернси с книгами сейчас туго, поскольку остров, в годы войны оккупированный немцами, только-только возрождается к жизни. Письмо переворачивает жизнь Джулиет. История книжного клуба, ставшего прикрытием для запрещенных встреч жителей деревни, увлекает и затягивает ее.",2018,"Великобритания, Франция, США",«Based on the best-selling novel»,"Лили Джеймс, Михиль Хаусман, Глен Пауэлл, Джессика Браун-Финдли, Кэтрин Паркинсон, Мэттью Гуд, Том Кортни, Пенелопа Уилтон, Брона Галлахер, Кит Коннор",Майк Ньюэлл,"Дон Рус, Кевин Худ, Томас Безуча","Грэм Бродбент, Митчелл Каплан, Паула Мазур",Зак Николсон,Алекс Харвуд,"Джеймс Мерифилд, Кирк Домэн, Пол Жирардани",Пол Тотхилл,"драма, мелодрама, история, военный",{},None,None,None,76463,23183858,,7.22,10353,None,None,124,None,,,,FALSE,(),9 апреля 2018,29 августа 2019,None :,$23 183 858,None
"Проклятие ""Мэри""",1093221,Проклятие «Мэри»,Mary,"Морская полиция подбирает в открытом море выживших после пожара на прогулочной яхте: женщину средних лет Сару и двух её дочерей. Сара сразу сознаётся, что она сожгла судно, ведь, по её словам, у неё не было другого выхода — в яхте обитал злой дух. Всё началось с того, что её муж Дэвид купил на полицейском аукционе эту лодку, точно такую, какая была у его отца. Мужчина надеялся начать собственный бизнес, а яхта «Мэри» должна была стать счастливым билетом для него и его семьи.",2019,США,«Evil Lives Just Beneath the Surface»,"Гари Олдман, Эмили Мортимер, Мануэль Рульфо, Стефани Скотт, Хлоя Перрин, Оуэн Тиг, Дженнифер Эспозито, Дуглас Урбански, Клер Бирн, Майкл Лэндис",Майкл Гои,Энтони Джазвински,"Скотт Ламберт, Д. Скотт Лампкин, Mason McGowin",Майкл Гои,The Newton Brothers,"Кара Линдстрём, Элизабет Боллер, Леонард Р. Спирс",Джефф Бетанкорт,ужасы,{},None,None,None,76504,709528,,4.641,1384,None,None,84,None,,,,FALSE,(),23 августа 2019,19 сентября 2019,None :,$709 528,None
Маленькие чудовища,1091939,Маленькие чудовища,Little Monsters,"Воспитательница везёт группу дошколят за город на экскурсию, когда на местности происходит вспышка зомби-вируса. Чтобы спастись и не травмировать хрупкую детскую психику, женщина убеждает малышей, что все эти зомби, кровь, кишки — ненастоящие, а всё происходящее — просто игра. Странная, но весёлая. И вот тот дядя корчится не от боли, а от радости. И не корчится, а смеётся.",2019,"Великобритания, Австралия, США",«Playtime is over»,"Лупита Нионго, Александр Инглэнд, Джош Гад, Кэт Стюарт, Дизель Ла Торрака, Надя Таунсенд, Маршалл Напье, Гленн Хэзелдайн, Ава Кариофиллис, Чарли Уитли",Эйб Форсайт,Эйб Форсайт,"Джессика У, Кит Калдер, Стивен Хутенски",Лачлан Милн,Пьерс Бёрбрук де Вир,"Сэм Хоббс, Карло Кресчини, Леон Кразенштайн","Джим Мэй, Дрю Томпсон","ужасы, комедия",{},None,None,None,43209,130381,,5.839,4616,6.3,8726,93,None,,,,FALSE,(),27 января 2019,10 октября 2019,None :,$130 381,None
Иные,1178683,Иные,Freaks,"В доме тихого одноэтажного района живёт отец-одиночка с семилетней дочерью Хлои. Папа трясётся над девочкой: запрещает ей выходить из дома, общаться с незнакомыми, а о том, чтобы поиграть с другими детьми, речи вообще не идёт — ведь мир полон опасных людей, которые только и ждут, чтобы напасть и убить. Поэтому маленькая Хлои придумывает себе развлечения сама и даже иногда видит в чулане призрака. Однажды, не сумев противостоять соблазну, девочка всё-таки выходит на улицу, чтобы купить мороженое. Подружившись со старым мороженщиком, Хлои с удивлением обнаруживает, что мир не так опасен, как пугал её отец.",2018,"Канада, США",«Они выглядят как мы. Но они — не мы»,"Лекси Колкер, Эмиль Хирш, Брюс Дерн, Грейс Пак, Аманда Крю, Ава Телек, Мишель Харрисон, Мэтти Финочио, Алекс Паунович, АрДжей Фезерстонхо","Зак Липовски, Адам Б. Стейн","Зак Липовски, Адам Б. Стейн","Джордан Барбер, Митчелл Ваксман, Михал Абу-Сайед",Стирлинг Бэнкрофт,Тим Винн,"Мо Куртен, Бри Проук, Миа Фиддис",Сабрина Питре,"фантастика, триллер, драма, детектив",{},None,None,276591,52774,335050,,6.388,6463,6.7,15214,105,None,,,,FALSE,(),8 сентября 2018,24 октября 2019,13.2 тыс.,$276 591,None
Ленин Неизбежность,1280594,Ленин. Неизбежность,,"Уже почти три года идет Первая мировая война — самая жестокая и кровавая в истории человечества. Владимир Ленин долгое время находится в иммиграции и недавно переехал в Цюрих. Посвятивший всю свою жизнь подготовке революции, Ленин упустил её начало и теперь ищет любую возможность вернуться в Россию, чтобы взять ситуацию в свои руки. А вариантов немного и в конце концов остается самый невероятный — пересечь территорию воюющей с Россией Германии на поезде…",2019,Россия,,"Евгений Миронов, Фёдор Бондарчук, Максим Матвеев, Александр Балуев, Дарья Екамасова, Виктория Исакова, Паулина Андреева",Владимир Хотиненко,"Кирилл Журенков, Надежда Воробьева","Сергей Мелькумов, Антон Златопольский, Александр Роднянский",Денис Аларкон Рамирес,Алексей Айги,Сергей Иванов,"Игорь Литонинский, Наталья Шмидт","драма, история, биография",{},None,None,None,26719,None,,5.27,779,None,None,113,None,,,,FALSE,(),None,31 октября 2019,None,$26 719,None
МУЛЬТ в кино. Выпуск № 106,963004,МУЛЬТ в кино. Выпуск No26,,"В 26-м выпуске «МУЛЬТ в кино» Барбоскины сначала немного поссорятся, после чего обязательно помирятся. Кроме того, в новом выпуске многосерийного киножурнала зрители увидят свежие эпизоды мультфильмов «Тима и Тома» (серия «Резонанс»), «Волшебный фонарь» (""Кит по имени Моби Дик»), «Бумажки» (""На всякий бумажный случай»), «Ми-Ми-Мишки» (""По своим правилам»), «Планета Ай» (""Опасная ботаника»), «Аркадий Паровозов спешит на помощь» (""Двери») и «Фиксики» (""Колесо»).",2016,Россия,«Пойдём ещё!»,,"Евгений Головин, Андрей Соколов, Екатерина Салабай",,"Иван Кудрявцев, Татьяна Цыварева",,,,,"мультфильм, детский",{},None,None,None,None,None,,None,None,None,None,47,None,,,,FALSE,(),None,5 марта 2016,None,None,None
Молодая женщина,986726,Молодая женщина,Jeune femme,"После долгих лет отсутствия Паула возвращается в Париж. Не имея ни гроша в кармане, с разбитым сердцем и любимой кошкой она пытается начать жизнь сначала.",2017,"Франция, Бельгия",,"Летиция Дош, Сулейман Сейе Ндиайе, Грегуар Монсенжон, Жан-Кристоф Фолли, Натали Ришар, Арно де Казе, Зирек, Филипп Лэсри, Мари Ремон, Жан-Рене Лемуан",Леонор Серай,"Клеменс Карре, Бастьен Даре, Леонор Серай","Sandra da Fonseca, Бертран Гор, Натали Мезюре",Émilie Noblet,Жюли Руэ,"Валери Валеро, Хайят Лушпински, Corentin Harlé",Клеменс Карре,"драма, комедия",{},None,None,None,50661,None,,6.038,1505,None,None,97,None,,,,FALSE,(),23 мая 2017,28 декабря 2017,None :,$50 661,None
Последний портрет,909799,Последний портрет,Final Portrait,"История о закате жизни одного из виднейших художников ХХ века — Альберто Джакометти.  Париж начала 60-х, Альберто Джакометти окружен признанием коллег, интересом любовницы и ревностью жены. Чахнущий над своими доходами и уставший от предсказуемой жизни, художник находит покой в компании Джеймса Лорда — позирующего ему критика. Запланированный портрет не готов и через две недели: двое проводят много времени вместе, обсуждают искусство и работу, дышат свежим воздухом города на Сене.",2016,Великобритания,«The search for perfection never ends»,"Джеффри Раш, Арми Хаммер, Тони Шэлуб, Сильви Тестю, Клеманс Поэзи, Джеймс Фолкнер, Керри Шейл, Аннабель Маллион, Tim Dreisden, Такацуна Мукаи",Стэнли Туччи,"Стэнли Туччи, Джеймс Лорд","Ник Бауэр, Гэйл Иган, Иланн Джирард",Дэнни Коэн,Эван Лури,"Джеймс Мерифилд, Дэвид Хиндл, Лиза Брейси",Камилла Тониоло,"драма, комедия, биография",{},None,None,461972,56166,1677835,,6.244,3256,None,None,90,None,,,,FALSE,(),11 февраля 2017,11 января 2018,12.2 тыс.,$461 972,None
Тор: Рагнарёк,822709,Тор: Рагнарёк,Thor: Ragnarok,"Вернувшись в Асгард в поисках таинственного врага, ведущего охоту на Камни Бесконечности, Тор обнаруживает, что действия его брата Локи, захватившего трон Асгарда, привели к приближению наиболее страшного события — Рагнарёка. По легенде это ознаменует последнюю битву Асгарда, последствием которой станет его полное уничтожение. В попытке предотвратить это событие Тору предстоит прибегнуть к помощи своего товарища из Мстителей — Халка. Вместе им предстоит столкнуться лицом к лицу со злейшим врагом всех девяти миров — огненным демоном Суртуром, целью которого является исполнение пророчества о Рагнарёке и уничтожение девяти миров.",2017,США,«No Hammer. No Problem»,"Крис Хемсворт, Том Хиддлстон, Кейт Бланшетт, Идрис Эльба, Джефф Голдблюм, Тесса Томпсон, Карл Урбан, Марк Руффало, Энтони Хопкинс, Бенедикт Камбербэтч",Тайка Вайтити,"Эрик Пирсон, Крэйг Кайл, Кристофер Йост","Виктория Алонсо, Брайан Чапек, Луис ДЭспозито",Хавьер Агирресаробе,Марк Мазерсбо,"Дэн Хенна, Ра Винсент, Билл Бут","Зене Бэйкер, Джоэль Негрон","фантастика, фэнтези, боевик, комедия, приключения",{},180000000,None,315058289,24856442,853977126,,7.55,157666,None,None,130,None,,,,FALSE,(),10 октября 2017,2 ноября 2017,None,$180 000 000,"зрителям, достигшим 16 лет"
Мои белые ночи,(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),(),None,None,None,None,None
Ева,1037323,Ева,Eva,"Многообещающий писатель Бертран во время сильной метели оказывается под одной крышей с обольстительной и загадочной Евой. Одержимый этой роковой женщиной, он не подозревает, кто она на самом деле, и в какую опасную игру он вовлечен. Но в погоне за славой, он готов пойти на все, чтобы получить незабываемый и шокирующий финал для, возможно, главного своего романа, героиней которого является Ева.",2018,"Франция, Бельгия",«Игра со страстью – игра без правил»,"Изабель Юппер, Гаспар Ульель, Джулия Рой, Марк Барбе, Ришар Берри, Дидье Фламан, Паскаль Обер, Nina Ballester-Moulin, Анн Косенс, Жан-Луис Кроке",Бенуа Жако,"Жиль Торан, Бенуа Жако, Джеймс Хэдли Чейз","Мелита Тоскан дю Плантье, Мари-Жанна Паскаль, Люк Бессон",Жюльен Хирш,Бруно Куле,"Катя Вышкоп, Мариэль Робо",Джулия Грегори,триллер,{},None,None,None,105060,1184348,,5.26,2720,None,None,100,None,,,,FALSE,(),17 февраля 2018,8 марта 2018,None :,$1 184 348,None
"Вествуд: панк, икона, активист",986511,"Вествуд: Панк, икона, активист","Westwood: Punk, Icon, Activist","Вивьен Вествуд — легенда лондонского стиля, его создатель и разрушитель. Дизайнер одежды, она с самого начала заявила о себе как явлении культуры. Сегодня Вествуд — гранд-дама, кавалер ордена Британской империи, бунтарь и активист — по-прежнему живет и работает в Лондоне, где издавна уживаются королевская корона и панковская булавка.",2018,Великобритания,«Punk. Icon. Activist»,"Памела Андерсон, Кристина Хендрикс, Кейт Мосс, Андре Леон Тэлли, Вивьенн Вествуд",Лорна Такер,,"Джон Батсек, Ширин Бест, Элли Эмптейдж",James Moriarty,Дэн Джонс,,Пол Карлин,документальный,{},None,None,58979,44726,None,,7.048,528,5.9,630,83,None,,,,FALSE,(),20 января 2018,19 апреля 2018,None :,$44 726,None
Миссис Хайд,959260,Миссис Хайд,Madame Hyde,"Мадам Жекиль — эксцентричная училка, которую ни в грош не ставят ни коллеги, ни ученики. Однажды в грозовую ночь в нее попадает молния, и это происшествие фантастическим образом меняет героиню. В кроткой мадам пробуждается дьявольская миссис Хайд. Властная и опасная для окружающих, она живет внутри мадам Жекиль и ждет удобного момента, чтобы отомстить своим обидчикам.",2017,Франция,,"Изабель Юппер, Ромен Дюрис, Хосе Гарсия, Adda Senani, Гийом Вердье, Патриция Барзик, Пьер Леон, Roxane Arnal, Angèle Metzger, Белкасем Лалауи",Серж Бозон,"Серж Бозон, Аксель Ропер, Роберт Льюис Стивенсон","Давид Тион, Филипп Мартен, Оливье Пере",Селин Бозон,Бенжамен Эсдраффо,"Лори Колсон, Delphine Capossela, Аксель Ле Дофин",Франсуа Кикере,комедия,{},None,None,18627,35942,None,,5.197,946,None,None,95,None,,,,FALSE,(),6 августа 2017,26 апреля 2018,None :,$18 627,None
Реальные упыри,818981,Реальные упыри,What We Do in the Shadows,"История жизни Виаго, Дикона и Владислава — трёх соседей и по совместительству бессмертных вампиров, которые всего лишь пытаются выжить в современном мире, где есть арендная плата, фейсконтроль в ночных клубах, губительный солнечный свет и другие неприятности.",2014,"Новая Зеландия, США",«Умереть не встать»,"Джемейн Клемент, Тайка Вайтити, Джонатан Бруг, Кори Гонсалес-Макуэр, Стью Рутерфорд, Бен Френшам, Джеки ван Бик, Елена Стейко, Джейсон Хойте, Карен ОЛири","Джемейн Клемент, Тайка Вайтити","Джемейн Клемент, Тайка Вайтити","Emma Bartlett, Джемейн Клемент, Памела Харви-Уайт","Ричард Блак, Д.Дж. Стипсен",Plan 9,"Ра Винсент, Аманда Нил","Том Иглз, Яна Горская, Джонатан Вудфорд-Робинсон","комедия, ужасы",{},1600000,None,3469224,270618,6979001,,7.414,72092,None,None,85,None,,,,FALSE,(),19 января 2014,16 апреля 2015,None,$1 600 000,None
Невероятные приключения Факира,957726,Невероятные приключения Факира,The Extraordinary Journey of the Fakir,"Если любовь не стучится в дверь, самое время поискать её на другом конце света. Когда нашел — не потерять. А если потерял — вернуть любой ценой. Пускай для этого придется путешествовать в шкафу, на лодке, на воздушном шаре или даже в чемодане. Мумбаи-Париж-Лондон-Рим — если у чувств нет границ, то и бизнес-класс им не нужен.",2018,"Франция, Индия, Бельгия, Сингапур, США",,"Дхануш, Беренис Бежо, Эрин Мориарти, Баркхад Абди, Жерар Жюньо, Бен Миллер, Абель Жафри, Сара-Джинн Лабросс, Кай Грейданус, Амрута Сент",Кен Скотт,"Ромен Пуэртолас, Люк Босси, Кен Скотт","Адити Ананд, Люк Босси, Гульзар Индер Чахал",Венсан Матиа,"Николас Эррера, Амит Триведи",Валери Раншу,"Филипп Бургей, Иванн Тибодо","комедия, приключения",{},None,None,None,22522,3267486,,6.786,3087,None,None,92,None,,,,FALSE,(),30 мая 2018,14 июня 2018,None :,$3 267 486,None
Большая афера в маленьком городе,973392,Большая афера в маленьком городе,Un paese quasi perfetto,"Для жителей маленького городка, затерянного в Доломитовых Альпах, открытие фабрики — надежда на спасение от тотальной безработицы. Но чтобы фабрика прошла аттестацию, в ее штате должен быть врач. Волей случая оказавшийся в этой глуши эстетический хирург из Милана оказывается единственным кандидатом… Сможет ли рафинированный доктор, привыкший к роскошной жизни и клиентам совсем другого уровня, вынести отсутствие вайфая и суши-баров? Местным придется проявить изобретательность, доказав гостю — он оказался в лучшем месте на земле.",2016,Италия,"«120 лжецов пойдут на все, чтобы в городе был врач»","Фабио Воло, Сильвио Орландо, Нандо Паоне, Карло Буччироссо, Мириам Леоне, Джеа Мартире, Мария Пайато, Франческо Де Вито",Массимо Гаудиозо,"Массимо Гаудиозо, Кен Скотт","Марко Кименц, Джованни Стабилини, Риккардо Тоцци",Джан Энрико Бьянчи,Санти Пулвиренти,"Соня Пенг, Марина Кампанале, Орнелла Кампанале",Фабио Нуньзьята,комедия,{},None,None,None,26290,None,,6.28,777,6,458,92,None,,,,FALSE,(),24 марта 2016,12 июля 2018,None :,$26 290,None
Голодные Z,1029675,Голодные Z,Les affamés,"В небольшой деревушке неподалеку от Квебека все изменилось. Местные жители уже не те, что раньше: их тела разлагаются, а сами они стали интересоваться исключительно свежей плотью.",2017,Канада,"«В первую очередь, зомби придут к твоим близким...»","Марк-Андре Гронден, Монья Шокри, Шарлотта Сен-Мартен, Мишлен Ланкто, Мари-Джинетт Гуай, Бриджитт Пупар, Эдуар Трамбле-Гренье, Люк Пру, Дидье Люсьен, Робер Бруйетт",Робин Обер,Робин Обер,"Стефани Морисетт, К.С. Рой",Стив Дерозье,Пьер-Филипп Коте,"Андре-Лине Бопарлан, Филипп Лорд, Джули Чэрленд",Френсис Клотье,"ужасы, фантастика, драма",{},None,None,None,39731,41026,,5.182,1648,None,None,104,None,,,,FALSE,(),None,None,None,None,None
Шоу Мистико,789159,Шоу Мистико,O Grande Circo Místico,"В мае 1910 года, когда над Землей пронеслась комета Галлея, молодой красавец доктор Фред Кипс без ума влюбился в акробатку Беатрис, вопреки воле родителей взял ее в жены и купил для нее цирк, назвав его «Гранд Мистико». Так начинается эта наполненная волшебством и эротикой история, в которую вовлечены фокусник и секс-гигант Жан-Поль, звероподобный силач Рудольфо, близняшки Мария и Елена, зарабатывающие интимными услугами и полетами под куполом цирка, и прочие удивительные герои. Идут годы — Первая мировая война, Вторая, человек ступает на Луну, рушится берлинская стена, комета Галлея пронеслась над Землей снова… И только в «Гранд Мистико», как и сто лет назад, каждый вечер вечно юный загадочный шпрехшталмейстер Селяви объявляет о начале представления. Шоу продолжается…",2018,"Бразилия, Португалия, Франция",,"Венсан Кассель, Албану Жерониму, Нуно Лопеш, Давид Огродник, Антонио Фагундес, Мариана Шименес, Антонио де ла Крус, Катрин Муше, Рафаэль Лозаньо, Бруна Линзмейер",Карлус Диегис,"Карлус Диегис, Джордж Мора, Хорхе де Лима","Луиш Галван Телеш, Рената Альмейда Магалхаес, Жуау Фонсека",Густаво Хадба,"Шико Буарке ди Олланда, Эду Лобо","Артур Пинейро, Кика Лопес","Дэниэл Гарсиа, Мэир Таварес",драма,{},None,None,None,29817,None,,5.012,750,None,None,105,None,,,,FALSE,(),None,None,None,None,None
Панды,1111982,Панды 3D,Pandas,"В китайском парке Чэнду группа учёных занимается сохранением и разведением панд — одних из самых забавных млекопитающих на нашей планете, которые, к сожалению, находятся на грани исчезновения. После положительного опыта учёных из США по адаптации черных медведей к дикой природе, китайские учёные решают применить эту технику для другого вида млекопитающих. Малышка Чен-Чен, рожденная в приюте для панд, становится первым участником этого захватывающего эксперимента по знакомству с неизведанной природой.",2018,США,«Дикие сердцем»,"Кристен Белл, Лэй Бивэнь, Жун Хоу, Бен Килэм, Джейкоб Оуэнс","Дэвид Дуглас, Дрю Фелмэн",Дрю Фелмэн,"Дрю Фелмэн, Дональд Кушнер, Майкл МакДермотт",Дэвид Дуглас,Марк Мазерсбо,,Бет Шпигель,документальный,{},None,None,5757906,61581,None,,8.17,365,7.4,447,40,None,,,,FALSE,(),6 апреля 2018,20 сентября 2018,None :,$61 581,None
Школа,493098,Школа ( сериал ),,,None,,,,,,,,,,,,{},None,None,None,None,None,,None,None,None,None,None,None,,,,None,(),None,None,None,None,None
МакКуин,1117969,Маккуин,McQueen,"История художника, который выбрал точкой приложения своих творческих усилий подиум. Абсолютное мировое признание не сделало его счастливым. Наоборот, чем громче ему рукоплескал мир, тем глубже он забирался в дебри собственной души. Первые люди моды, семья и друзья рассказывают об Александре Маккуине все, что знают.",2018,Великобритания,«Невероятная история жизни отважного рыцаря моды Александра Маккуина»,"Бернар Арно, Джозеф Беннетт, Детмар Блоу, Изабелла Блоу, Кэти Инглэнд, Том Форд, Магдалена Фрацковяк, Джоди Кидд, Александр Маккуин, Гари Джеймс Маккуин","Айан Бонхот, Питер Эттедги",Питер Эттедги,"Айан Бонхот, Эндрю Райдер, Ник Тоссиг",Уилл Паг,Майкл Найман,,Синция Балдессари,"документальный, биография",{},None,None,1257275,89230,2739246,,8.165,2399,7.8,5659,111,None,,,,FALSE,(),22 апреля 2018,1 ноября 2018,None :,$2 739 246,None
Песнь моря,714248,Песнь моря,Song of the Sea,Невероятная история Бена и его сестренки Сирши. Вместе они пускаются в фантастическое путешествие сквозь исчезающий мир древних легенд и магии.,2014,"Ирландия, Дания, Бельгия, Люксембург, Франция",,"Дэвид Роул, Брендан Глисон, Лиза Хэннигэн, Финола Флэнаган, Люси ОКоннелл, Джон Кенни, Пэт Шорт, Колм ОСнодай, Лиам Хурикан, Кевин Щвершч",Томм Мур,"Уилл Коллинз, Томм Мур","Клаус Токсвиг Кьяэр, Томм Мур, Росс Мюррэй",,Бруно Куле,Адриен Мерижо,"Дарра Бирн, Даррен Т. Холмс","мультфильм, фэнтези, драма, приключения, семейный",{},None,None,857522,35245,4190670,,8.088,43884,None,None,93,None,,,,FALSE,(),6 сентября 2014,27 августа 2015,11.4 тыс.,$857 522,None
Черная полоса,999713,Черная полоса,Fleuve noir,"Комиссар Франсуа Висконти, видавший виды полицейский, расследует, на первый взгляд, рутинное дело, связанное с исчезновением подростка Дэни Арно. Комиссару кажутся подозрительными все: и сексапильная мать, и немногословный громила-отец, и даже школьный учитель Ян Беллэль, неожиданно предложивший полицейскому свою помощь в поисках. Следствие петляет от подозреваемого к подозреваемому, но никаких следов подростка нет, и шансов найти его живым все меньше и меньше.",2017,"Франция, Бельгия",«Когда правда страшнее лжи»,"Венсан Кассель, Ромен Дюрис, Сандрин Киберлэн, Элоди Буше, Шарль Берлен, Афсиа Эрзи, Жером Пули, Феликс Бак, Лорена Телье, Стефан Войтович",Эрик Зонка,"Эрик Зонка, Лу де Фанже Синьоле, Дрор Мишани","Жак-Анри Бронкар, Оливье Бронкар, Венсан Кассель",Паоло Карнера,Реми Бубаль,"Кристоф Кузон, Мустафауи Джамиль, Фредерик Дельрю",Филипп Котларски,"триллер, драма, криминал, детектив",{},None,None,None,71745,2355728,,5.773,3138,None,None,113,None,,,,FALSE,(),6 апреля 2018,10 января 2019,None :,$2 355 728,None
Приключения Аладдина,1065112,Приключения Аладдина,Alad2,"А что бывает после «и жили они долго и счастливо»? На пороге Дворца в волшебном Багдаде, где проводят время Аладдин и Принцесса, появляется ужасный и опасный Диктатор. Чтобы избавиться от незваного гостя и не потерять Принцессу, Аладдину придется вновь окунуться в мир приключений и опасностей: пролететь на ковре-самолёте полмира, разыскать Волшебную лампу, своего приятеля Джинна и уже вместе с ним сразиться с Диктатором.",2018,Франция,«Чей Джинн круче?»,"Кев Адамс, Жамель Деббуз, Ванесса Гид, Эрик Жюдор, Рамзи Бедиа, Ноэми Ленуар, Вахид Бузиди, Дмитрий Торджман, Изабель Нанти, Жерар Депардье",Лионель Стекти,Деве Коэн,"Жером Сейду, Дэниэл Торджман, Джонатан Блюменталь",Стефан Ле Парк,"Максим Депре, Мишель Торджман","Маамар Эч-Шейх, Эрик Бурже, Сандрин Бернард",Фредерик Ольшак,комедия,{},None,None,None,74260,10857617,,4.995,1248,3.2,689,98,None,,,,FALSE,(),15 сентября 2018,31 января 2019,None :,$10 857 617,None
